# Start logging at 2021-01-11 21:32:40 E. South America Standard Time
[21:32:40] disconnected
[21:32:43] Now hosting SINXPLAYSBR.
[21:52:23] disconnected
[21:52:25] Now hosting SINXPLAYSBR.
[22:05:07] Exited host mode.
[22:05:39] bruninhoso7 is live
[22:05:50]  vindmr: oi
[22:05:57]  vindmr: blz ndrake
[22:06:15]  gearleep: Boa noite
[22:06:20]  pedromzn1: boa noite
[22:06:29]  akali_de_la_serre: boa noite
[22:06:33]  danielmpaiva02: Boa noite bolinho, boa noite chat
[22:06:35]  breno10fernandes: Coe cria
[22:06:59] disconnected
[22:07:08]  oandin: Cheer1 Senhor Bruno Somente Sete, bom dia
[22:07:09]  christiandavilla: boa noite Gominho
[22:07:11]  ajcsjwbia: roi
[22:07:24]  gearleep: Ta com uma qualidade só
[22:07:50]  lrenanvictorl: salveeeee
[22:07:52]  adriano_rod: boa noite bolinho amarelinho, boa noite chat hayaAmor
[22:08:12]  masonban: bolinho
[22:08:25]  ozura99: achei que ia estar morto hj
[22:08:25]  fernandosini: boa noite
[22:08:27]  lrenanvictorl: brunin10So7ou
[22:08:35]  tedthegr8: Cheer1 faaalaaa gaaaleeeeera Bruuninhôô çô 7 dii voolta tuudo belezaaah
[22:08:39]  lrenanvictorl: brunin10Soubenao
[22:08:39]  samumarques20: boa noite lindo
[22:08:39]  oandin: Boa noite
[22:08:41]  jean_jrr: boa noiteee, tô esperando desde nove e meia kkkkkk
[22:08:41]  masonban: kkkkkkkkkkkkkkk liiindo
[22:08:43]  araujo1761: boa noite
[22:08:43]  nome_aleatorio_png: Boa noite
[22:08:55]  jeor22: boa noite
[22:08:56]  vinimasao: boa noite so7! Boa noite chat!
[22:09:00]  masonban: boa gatao
[22:09:03]  nome_aleatorio_png: olha o so7 streamer
[22:09:03]  fernandosini: noite
[22:09:04]  masterfles2: voz gostosa...
[22:09:07]  jean_jrr: bem, gatão
[22:09:07]  masonban: com calor do kct
[22:09:11]  gearleep: Ta com uma qualidade
[22:09:13]  akali_de_la_serre: Frio dms
[22:09:15]  tedthegr8: Cheer1 não tenha dúvidas. como que foi o dia aí hoje?....... comeu o que de bom?
[22:09:18]  jean_jrr: voz delicia
[22:09:21]  panov3io: boa noite
[22:09:25]  lrenanvictorl: boa noite
[22:09:26]  jean_jrr: cadê o outro velho?
[22:09:35]  mdsjoao: alguem tem essa foto do so7 para me mandar por obsequio
[22:09:53]  pepeboladoo: o que ta rolando ? S07 fazendo live direto? 2021 ta estranho tambem
[22:10:07]  masonban: já cagou o horário
[22:10:08]  samumarques20: depois tem over né soseven?
[22:10:10]  araujo1761: vão jogar oq?
[22:10:15]  akali_de_la_serre: kkkk
[22:10:22]  ozura99: Pro streamer
[22:10:27]  turmadamao: nao era 21:30
[22:10:30]  vinimasao: parabéns SO7, que consiga manter o streak
[22:10:30]  jean_jrr: @araujo1761 RE5
[22:10:36]  jefff: Cheer1 Finalmente alguem abriu uma live boa pra assistir. Obrigado, Colono
[22:10:40]  oandin: Cheer1 2021 e So7 falando que não vai jogar overwatch
[22:10:43]  tedthegr8: Cheer1 se eu tivesse acordado e aberto a Twitch, eu veria o fim da live então. doidera isso aí.
[22:10:51]  gearleep: São 7 dias seguidos pra 2 meses de ausência vale a pena?
[22:10:51]  vitordalle: terminaram em que parte ontem ?
[22:10:51]  vindmr: kraio so7 faz nada e tá cançado
[22:10:58]  xulapa99: salve meu lindo, resident é nostálgico DMS
[22:11:21]  victorguiachetto: so7 ta no ritmo das lives kkkkk ta se inspirando no japones já
[22:11:25]  w3b3rth1: e aí fofo
[22:11:47]  oandin: Cheer1 Colonete ficou até as 07 ou 08 no re4, está uma maquina
[22:11:52]  jefff: Cheer1 pç pç pç pç pç pç pç
[22:12:06]  ojoseigor: Matando o PW 🙄
[22:12:21]  jeor22: ró
[22:12:27]  jaoj_: õr!
[22:12:41]  jaoj_: õr! @JeFFF copia e cola varias vezes
[22:12:42]  iagosbroglio: parabéns so7 não esqueceu um até agora
[22:12:46]  oandin: Cheer1 ró
[22:12:48]  jefff: Cheer1 õr! õr! õr! õr! õr! õr!
[22:12:57]  gearleep: Só funciona no rodrigo
[22:13:01]  pedromzn1: iae so7
[22:13:04]  hannigust: Cheer1 õr! õr! õr! õr! õr! õr!
[22:13:14]  bielmanzke: Oi fofo 🥰
[22:13:14]  jefff: ashusahusausa, miramo no porco e acertamos o so7 peidando
[22:13:18]  shogoamakusa: viado do mmarg abandonou nozes
[22:13:20]  jaoj_: esse fica bom no ricardo @BruninhoSO7
[22:13:29]  masonban: kkkkkkk ai é foda
[22:13:30]  jaoj_: na vitória não fica bom
[22:13:35]  iagosbroglio: kkkkkk
[22:13:37]  caiiiiooooo: Oi so7 lindo
[22:13:41]  berna_reis: boa noite, So7!
